album_id,title,artist_id,album_type,release_year,release_date,track_count,label,upc,spotify_id,musicbrainz_id,source_dataset
01mXRaNPZE3zowFECJtngj,Bitch Better Have My Money (R3hab Remix),artist:0588499a-7fad-c0d7-4996-e5c65a6624c3,album,2015,,1,,,01mXRaNPZE3zowFECJtngj,,tidy_tuesday_dbcl
01nV3KuocS1NJHTsJbPkTO,Una Vaina Loca,artist:8f6f4e80-72f8-e89f-fd21-759cf54218d8,album,2011,,1,,,01nV3KuocS1NJHTsJbPkTO,,tidy_tuesday_dbcl
01odf9OctepGIrFnhABvDY,To Be Continued,artist:48a867be-24a6-e663-4771-572d200ea990,album,2008,,4,,,01odf9OctepGIrFnhABvDY,,tidy_tuesday_dbcl
01riz9JMpPdL99fYhoZaph,Where I Wanna Be,artist:9ec66d14-01f7-48c8-a504-1d97f65d97a2,album,1999,,2,,,01riz9JMpPdL99fYhoZaph,,tidy_tuesday_dbcl
01sfgrNbnnPUEyz6GZYlt9,Dua Lipa (Deluxe),artist:f40312bf-efb2-5034-0360-eada74cb64c4,album,2017,,2,,,01sfgrNbnnPUEyz6GZYlt9,,tidy_tuesday_dbcl
01uabHpYa9AA55wc6AwRQL,In Colour,artist:aba7774d-c264-b257-1e36-06afe669c5a0,album,2015,,1,,,01uabHpYa9AA55wc6AwRQL,,tidy_tuesday_dbcl
01wwlmULNFwk6YZ8riFRfL,Gold Skies (Remixes),artist:6708c580-ed7e-abf1-24c6-5af15952a198,album,2014,,2,,,01wwlmULNFwk6YZ8riFRfL,,tidy_tuesday_dbcl
01yYW0rRRwlEZx1dMmc5ff,Para Aventuras y Curiosidades,artist:f48d78ff-b354-2aaf-72f8-283cd7791243,album,2019,,2,,,01yYW0rRRwlEZx1dMmc5ff,,tidy_tuesday_dbcl
0215X8WQ3ZOnfbt5Djz9xG,Watch Me (featuring Bella Thorne and Zendaya),artist:015ce544-eda7-5911-fa67-fdbbeafcc7ca,album,2011,,1,,,0215X8WQ3ZOnfbt5Djz9xG,,tidy_tuesday_dbcl
021zMZKO2pUA3yoUQFW2uy,These Days...,artist:ae4fc9bd-528c-315e-ad6c-0538b1b1c49b,album,2014,,1,,,021zMZKO2pUA3yoUQFW2uy,,tidy_tuesday_dbcl
022DrG7Wp2PSCwzuD0bSzT,American Beauty/American Psycho,artist:e7c6c1f2-5dd7-986f-3166-0373e07d9a5a,album,2015,,1,,,022DrG7Wp2PSCwzuD0bSzT,,tidy_tuesday_dbcl
022bcs9M1gbI4143EDXwRN,Hello Hello,artist:2f8e6f42-3b1a-812f-b5f4-521ece125f11,album,2019,,1,,,022bcs9M1gbI4143EDXwRN,,tidy_tuesday_dbcl
023KmMyB2DNZR3V8YKoET9,Astronaut In The Ocean,artist:afb92e0a-9f73-4759-abc9-5e7a5e92b75a,album,2019,,1,,,023KmMyB2DNZR3V8YKoET9,,tidy_tuesday_dbcl
024iTh1noiKGAlewjTSC5n,Colour Collection (International Version),artist:054b3d4e-8d7a-b15a-cb7a-cbafea85a5f3,album,2007,,1,,,024iTh1noiKGAlewjTSC5n,,tidy_tuesday_dbcl
024mTxHsRmbydSnSlXkaZ8,Como el Agua,artist:4dd48ee3-45b0-a6c5-a4ba-b053c8803cb8,album,2018,,1,,,024mTxHsRmbydSnSlXkaZ8,,tidy_tuesday_dbcl
025XBuNQPx0m9B9PjDst82,Outro (Que É Você),artist:01c8ab65-d935-5e43-2d8b-cba313b33fe5,album,2019,,1,,,025XBuNQPx0m9B9PjDst82,,tidy_tuesday_dbcl
025njwSJ67gymZaZ7i3rHh,Lines of the Broken,artist:389f8a5c-a3a1-56b6-a7b6-75d20c30825d,album,2017,,1,,,025njwSJ67gymZaZ7i3rHh,,tidy_tuesday_dbcl
026GOYnOrorVFNmigW0SD3,Mi Ex,artist:86e91f51-c01a-1c87-55ba-26159966f93c,album,2019,,1,,,026GOYnOrorVFNmigW0SD3,,tidy_tuesday_dbcl
0289KRg78G6kSjE9tx9sqE,Better To Lie (with Jesse & Swae Lee),artist:79dc8fc7-594f-7978-e9fa-8f13d0a2c0e0,album,2018,,1,,,0289KRg78G6kSjE9tx9sqE,,tidy_tuesday_dbcl
028GpIPQmx26LrI3nJHTnK,Hysteria (Deluxe Edition),artist:0b59f4da-fcd8-96f5-f79b-66fc282db74d,album,1987,,1,,,028GpIPQmx26LrI3nJHTnK,,tidy_tuesday_dbcl
029HEGMA07SEMd36ZLaww6,Show Me Love,artist:88bd8a30-6f43-020a-338d-41d93b2d2da5,album,2014,,1,,,029HEGMA07SEMd36ZLaww6,,tidy_tuesday_dbcl
029dnuRwPEn8biaR5QC59w,Ten,artist:d7aa695a-cb1e-e67d-b4b3-f6b9a8e7b76e,album,1991,,1,,,029dnuRwPEn8biaR5QC59w,,tidy_tuesday_dbcl
02B3esbd2kGEp3E99QA9G6,The Love EP,artist:14144a78-01d7-e967-a313-622de2334544,album,2013,,1,,,02B3esbd2kGEp3E99QA9G6,,tidy_tuesday_dbcl
02BJ15LYYE9PMfspzNSod3,Just a Poet With Soul (Deluxe Version),artist:9eb85499-24a3-4e20-961d-c1dac8fba494,album,2012,,2,,,02BJ15LYYE9PMfspzNSod3,,tidy_tuesday_dbcl
02GVhWjMuoQBQUtNhjWsnG,Conspiracy (PA),artist:1e254cea-b31a-99a4-be1a-60960c150f60,album,1995,,1,,,02GVhWjMuoQBQUtNhjWsnG,,tidy_tuesday_dbcl
